country,attack_count,avg_score
Afghanistan,18796,-2.0
Albania,17,8.263157894736842
Algeria,1360,0.9473684210526315
Angola,81,-2.4210526315789473
Argentina,35,8.210526315789474
Armenia,12,5.105263157894737
Australia,52,10.0
Austria,23,10.0
Azerbaijan,19,-7.0
Bahrain,169,-8.210526315789474
Bangladesh,1174,2.736842105263158
Belarus,11,-7.0
Belgium,32,8.736842105263158
Benin,3,6.684210526315789
Bhutan,6,-0.9473684210526315
Bolivia,21,7.631578947368421
Brazil,48,8.0
Bulgaria,19,8.947368421052632
Burkina Faso,392,1.105263157894737
Burundi,388,3.6666666666666665
Cambodia,21,1.368421052631579
Cameroon,860,-5.0
Canada,83,10.0
Central African Republic,373,1.4375
Chad,114,-1.0
Chile,229,9.68421052631579
China,178,-7.0
Colombia,2712,7.0
Comoros,3,6.526315789473684
Costa Rica,3,10.0
Croatia,12,8.736842105263158
Cuba,1,-6.894736842105263
Cyprus,23,10.0
Czech Republic,21,9.31578947368421
Democratic Republic of the Congo,1490,3.1538461538461537
Denmark,12,10.0
Djibouti,4,2.0526315789473686
Dominica,1,7.842105263157895
East Timor,10,7.176470588235294
Ecuador,55,5.421052631578948
Egypt,2179,-4.111111111111111
Equatorial Guinea,1,-6.0
Eritrea,14,-6.947368421052632
Estonia,3,9.0
Ethiopia,190,-1.736842105263158
Fiji,5,0.4444444444444444
Finland,21,10.0
France,503,10.0
Gabon,5,-0.3157894736842105
Gambia,1,-4.052631578947368
Georgia,114,5.473684210526316
Germany,284,10.0
Ghana,17,7.368421052631579
Greece,659,10.0
Guatemala,24,8.0
Guinea,20,0.8947368421052632
Guinea-Bissau,9,4.578947368421052
Guyana,16,6.2105263157894735
Haiti,39,2.2
Honduras,23,7.0
Hungary,8,10.0
India,10887,9.0
Indonesia,638,7.842105263157895
Iran,182,-4.684210526315789
Iraq,27360,1.25
Ireland,194,10.0
Israel,1318,6.0
Italy,161,10.0
Ivory Coast,66,4.0
Jamaica,4,9.0
Japan,44,10.0
Jordan,48,-2.6315789473684212
Kazakhstan,23,-6.0
Kenya,772,7.7368421052631575
Kosovo,162,8.0
Kuwait,12,-7.0
Kyrgyzstan,31,3.1666666666666665
Laos,19,-7.0
Latvia,5,8.0
Lebanon,636,6.0
Lesotho,3,7.7894736842105265
Liberia,14,4.9375
Libya,2491,-7.0
Lithuania,2,10.0
Macedonia,106,8.68421052631579
Madagascar,13,5.368421052631579
Malawi,9,5.7368421052631575
Malaysia,72,4.578947368421052
Mali,976,5.777777777777778
Mauritania,14,-3.1052631578947367
Mexico,196,8.0
Moldova,5,8.68421052631579
Montenegro,8,9.0
Morocco,14,-5.157894736842105
Mozambique,565,5.0
Myanmar,551,-2.7777777777777777
Namibia,27,6.0
Nepal,1508,3.526315789473684
Netherlands,71,10.0
New Zealand,24,10.0
Nicaragua,16,8.157894736842104
Niger,217,5.0
Nigeria,5469,4.631578947368421
Norway,13,10.0
Pakistan,13687,1.8421052631578947
Panama,3,9.0
Papua New Guinea,10,4.368421052631579
Paraguay,87,8.157894736842104
Peru,88,9.0
Philippines,6283,8.0
Poland,8,9.894736842105264
Portugal,3,10.0
Qatar,4,-10.0
Republic of the Congo,21,-4.6
Romania,1,8.789473684210526
Russia,1914,4.7368421052631575
Rwanda,40,-3.3157894736842106
Saudi Arabia,563,-10.0
Senegal,50,7.368421052631579
Serbia,14,8.0
Serbia-Montenegro,11,6.0
Sierra Leone,28,6.411764705882353
Slovak Republic,3,9.68421052631579
Slovenia,1,10.0
Solomon Islands,3,8.0
Somalia,5148,5.0
South Africa,211,9.0
South Korea,7,8.0
South Sudan,323,0.0
Spain,427,10.0
Sri Lanka,879,4.947368421052632
Sudan,992,-4.083333333333333
Swaziland,5,-7.0
Sweden,98,10.0
Switzerland,20,10.0
Syria,2851,-7.105263157894737
Taiwan,14,9.789473684210526
Tajikistan,34,-2.6842105263157894
Tanzania,64,-0.15789473684210525
Thailand,3975,3.473684210526316
Togo,1,-2.526315789473684
Trinidad and Tobago,10,9.0
Tunisia,138,-0.4375
Turkey,1996,5.157894736842105
Turkmenistan,2,-8.68421052631579
Uganda,202,-1.7894736842105263
Ukraine,1792,5.684210526315789
United Kingdom,1340,9.68421052631579
United States,757,9.333333333333334
Uruguay,2,10.0
Uzbekistan,10,-9.0
Venezuela,83,2.6315789473684212
Vietnam,7,-7.0
Yemen,5920,-1.2857142857142858
Yugoslavia,37,7.0
Zambia,11,5.7894736842105265
Zimbabwe,34,-0.3684210526315789
